euler,centroid_x,centroid_y,hor_symm,ver_symm,aspect_ratio,area_ratio
0.000000,5.204918,5.860656,0.200000,0.466667,1.000000,0.377709
1.000000,4.479675,6.463415,1.000000,0.176471,1.000000,0.431579
1.000000,4.128378,6.513514,0.800000,0.682927,1.000000,0.519298
1.000000,4.458333,8.468750,0.000000,0.541667,1.000000,0.459330
1.000000,4.494737,9.421053,0.000000,0.807692,2.000000,0.555556
0.000000,6.151316,4.381579,0.826087,1.000000,0.000000,0.571429
0.000000,4.832168,7.426573,1.000000,0.451613,1.000000,0.501754
1.000000,5.526316,12.122807,0.000000,0.363636,3.000000,0.600000
0.000000,4.517949,4.656410,0.750000,0.753623,1.000000,0.540166
0.000000,6.441341,5.363128,0.465116,0.586207,0.000000,0.554180
1.000000,4.398058,4.985437,0.846154,0.500000,1.000000,0.570637
0.000000,4.573248,5.464968,0.642857,0.564103,1.000000,0.486068
1.000000,3.679487,4.839744,0.692308,0.457627,1.000000,0.432133
0.000000,4.917808,4.760274,0.428571,0.352941,1.000000,0.404432
1.000000,5.109756,8.695122,0.000000,0.258065,1.000000,0.392344
0.000000,4.650538,5.252688,0.690476,0.456522,1.000000,0.515235
-2.000000,4.875000,6.071429,0.600000,0.431373,1.000000,0.520124
-2.000000,4.298387,8.733871,0.000000,0.405405,1.000000,0.593301
1.000000,4.046980,6.436242,0.400000,0.238095,1.000000,0.522807
0.000000,4.875622,7.024876,0.111111,0.728814,1.000000,0.705263
-3.000000,4.563380,6.978873,1.000000,0.812500,1.000000,0.533835
0.000000,4.636704,4.220974,0.717647,0.565789,1.000000,0.739612
0.000000,4.139535,7.713178,0.000000,0.564103,1.000000,0.522267
0.000000,4.088710,6.967742,0.000000,0.666667,1.000000,0.543860
0.000000,3.921569,7.549020,0.000000,0.096774,1.000000,0.412955
0.000000,4.769634,5.277487,0.437500,0.459016,1.000000,0.529086
1.000000,4.328125,6.328125,0.208333,0.516129,1.000000,0.449123
1.000000,5.469388,4.278912,0.578947,0.400000,1.000000,0.407202
-1.000000,4.459016,5.344262,0.230769,0.333333,1.000000,0.401316
1.000000,4.368421,11.473684,0.000000,1.000000,3.000000,0.800000
1.000000,4.745902,8.672131,0.000000,0.257143,1.000000,0.583732
1.000000,4.537815,4.084034,0.600000,0.312500,1.000000,0.347953
-1.000000,4.789773,5.136364,0.433333,0.372093,1.000000,0.514620
1.000000,4.986301,5.938356,0.650000,0.387097,1.000000,0.452012
0.000000,3.930693,8.019802,0.000000,0.826087,1.000000,0.483254
1.000000,4.711712,7.477477,0.000000,0.035714,1.000000,0.389474
0.000000,4.238095,7.306122,0.100000,0.682927,1.000000,0.515789
1.000000,5.401961,10.137255,0.000000,0.689655,2.000000,0.596491
0.000000,4.232394,6.809859,0.333333,0.666667,1.000000,0.498246
0.000000,5.803922,4.777778,0.718750,0.517241,0.000000,0.503289
0.000000,4.161290,5.612903,0.250000,0.346154,1.000000,0.429363
1.000000,5.079137,4.690647,0.480000,0.592593,1.000000,0.385042
-1.000000,4.581921,4.977401,0.437500,0.317073,1.000000,0.490305
1.000000,4.505747,4.597701,0.459459,0.648148,1.000000,0.481994
0.000000,4.858209,8.820896,0.000000,0.571429,1.000000,0.705263
0.000000,4.944954,7.853211,0.000000,0.269231,1.000000,0.441296
-2.000000,4.107527,9.301075,0.000000,0.285714,1.000000,0.444976
0.000000,4.779817,6.596330,0.692308,0.352941,1.000000,0.382456
1.000000,4.127451,6.539216,0.454545,0.058824,1.000000,0.357895
1.000000,5.708955,6.753731,0.571429,0.300000,1.000000,0.470175
1.000000,4.520325,6.308943,0.214286,0.263158,1.000000,0.431579
1.000000,4.700000,11.337500,0.000000,1.000000,3.000000,0.842105
-1.000000,5.502146,5.369099,0.666667,0.769231,0.000000,0.721362
1.000000,3.884211,10.136842,0.000000,0.457143,2.000000,0.555556
0.000000,4.606557,4.950820,0.451613,0.043478,0.000000,0.356725
2.000000,6.212121,4.818182,0.222222,0.428571,0.000000,0.372180
0.000000,5.432990,6.371134,0.818182,0.076923,1.000000,0.300310
0.000000,4.770701,7.458599,0.333333,0.315789,1.000000,0.550877
-1.000000,6.225806,4.397849,0.894737,0.642857,0.000000,0.575851
0.000000,4.658065,5.058065,0.700000,0.344828,1.000000,0.429363
-1.000000,6.217877,4.513966,0.465116,0.461538,0.000000,0.554180
1.000000,4.410256,9.000000,0.000000,0.181818,1.000000,0.559809
